muscle,coefficients
0,[22  7 19 17  9]
1,[ 3 21 19 11 27]
2,[16 18  6 23 20]
3,[ 9 20 14 26 27]
4,[15 20 28 12 17]
5,[12  9 27 21  5]
6,[24 22  8 15  7]
7,[ 7 21 29 23 20]
8,[12 25 21 27  0]
9,[22  4  2 16 17]
10,[14  0  2  9 13]
11,[ 6  4 16 19  0]
12,[ 0 19  8 25  9]
13,[16 15 10  7  2]
14,[10  4 28 14 26]
15,[17 26  2 18  8]
16,[23 27 29  7 14]
17,[24  9 29  0 20]
18,[ 0 10  4 20  2]
19,[25  4 19 14 12]
20,[18 27 15  9 20]
21,[ 1  6  0 15 19]
22,[ 3  7 18 21  8]
23,[10 11 26  2 20]
24,[ 1  6  4 18  0]
