muscle,coefficients
0,[16 20  9  6 15]
1,[ 8 12 28 23 17]
2,[28 21 18 25  3]
3,[3 5 2 8 0]
4,[ 6 11  4 24 17]
5,[ 6 26 20 25 16]
6,[ 4  2 24  6 10]
7,[13  3  9 17 20]
8,[ 6  8 11  1 13]
9,[ 9 27 12  0 21]
10,[28 23  7 14 12]
11,[14 18 12  1  3]
12,[14 17 23  9 11]
13,[25 21 27  3 29]
14,[17 14  5 25 21]
15,[ 8 25  6 19 24]
16,[15 13 28  0  7]
17,[28  0 25 19  4]
18,[20  8 28 26  0]
19,[29 18 28 13 17]
20,[15 10 28  9  0]
21,[ 1 24  2  4 12]
22,[23 13 16 21  4]
23,[ 0 18 19 15 20]
24,[ 1 24  7 16  0]
