seed,coef_seed,train_seed,overall_mean_l2,rank
0_9,0,9,0.7887201905250549,1
0_0,0,0,0.8660219311714172,2
0_2,0,2,0.9374135732650757,3
0_1,0,1,1.1128705739974976,4
4_1,4,1,15.80827522277832,5
4_2,4,2,19.546812057495117,6
4_9,4,9,20.880115509033203,7
1_9,1,9,24.37148666381836,8
3_2,3,2,27.980615615844727,9
2_0,2,0,28.680095672607422,10
2_9,2,9,29.002361297607422,11
2_2,2,2,30.523517608642578,12
1_2,1,2,31.42425537109375,13
4_0,4,0,31.817556381225586,14
2_1,2,1,33.46875762939453,15
1_1,1,1,42.89905548095703,16
3_0,3,0,44.38261795043945,17
1_0,1,0,47.76753616333008,18
3_9,3,9,60.044456481933594,19
3_1,3,1,69.50836181640625,20
