seed,coef_seed,train_seed,overall_mean_l2,rank
4_1,4,1,0.638416588306427,1
0_9,0,9,0.7887201905250549,2
4_2,4,2,0.8387428522109985,3
0_0,0,0,0.8660219311714172,4
0_2,0,2,0.9374135732650757,5
3_0,3,0,0.955654501914978,6
1_2,1,2,1.0294039249420166,7
4_0,4,0,1.0410970449447632,8
3_9,3,9,1.0423141717910767,9
1_1,1,1,1.0668103694915771,10
2_1,2,1,1.0786621570587158,11
3_1,3,1,1.1101105213165283,12
0_1,0,1,1.1128705739974976,13
1_0,1,0,1.1538137197494507,14
4_9,4,9,1.3167569637298584,15
2_0,2,0,1.383907675743103,16
1_9,1,9,1.5120183229446411,17
2_9,2,9,1.5801054239273071,18
2_2,2,2,1.721072793006897,19
3_2,3,2,1.858428955078125,20
