seed,coef_seed,train_seed,direction,frame_idx,true_x,true_y,pred_x,pred_y
0_0,0,0,0_right,0,0.0,0.0,0.0,0.0
0_0,0,0,0_right,1,6.1035156e-05,-1.4305115e-06,-0.062412262,0.067941666
0_0,0,0,0_right,2,0.00046539307,-1.9073486e-06,-0.1196022,0.15081882
0_0,0,0,0_right,3,0.0015449524,0.0,-0.15870285,0.23870754
0_0,0,0,0_right,4,0.0036087036,-4.7683716e-07,-0.20692825,0.3257017
0_0,0,0,0_right,5,0.006958008,4.7683716e-07,-0.25542068,0.39528275
0_0,0,0,0_right,6,0.011867523,-9.536743e-07,-0.29883575,0.45586205
0_0,0,0,0_right,7,0.018600464,-1.4305115e-06,-0.3565941,0.53783035
0_0,0,0,0_right,8,0.02740097,-9.536743e-07,-0.41951752,0.6002064
0_0,0,0,0_right,9,0.03850174,0.0,-0.49749756,0.64469814
0_0,0,0,0_right,10,0.05211258,0.0,-0.59869385,0.6726885
0_0,0,0,0_right,11,0.0684433,-2.3841858e-06,-0.6996765,0.6715603
0_0,0,0,0_right,12,0.08765793,9.536743e-07,-0.7943039,0.66839504
0_0,0,0,0_right,13,0.10994339,4.7683716e-07,-0.8341217,0.6602173
0_0,0,0,0_right,14,0.13545227,-4.7683716e-07,-0.8738289,0.65560913
0_0,0,0,0_right,15,0.1643219,-9.536743e-07,-0.9006462,0.6581917
0_0,0,0,0_right,16,0.19667816,-4.7683716e-07,-0.91360855,0.64410305
0_0,0,0,0_right,17,0.23264313,9.536743e-07,-0.9502945,0.60054016
0_0,0,0,0_right,18,0.27230835,-9.536743e-07,-0.98846436,0.5320282
0_0,0,0,0_right,19,0.3157692,-4.7683716e-07,-1.0311737,0.45637035
0_0,0,0,0_right,20,0.36309814,-4.7683716e-07,-1.0356102,0.36381912
0_0,0,0,0_right,21,0.41436005,1.4305115e-06,-1.0562401,0.23658562
0_0,0,0,0_right,22,0.4696045,0.0,-1.0183792,0.13045502
0_0,0,0,0_right,23,0.52887344,-2.3841858e-06,-0.95578,0.055088997
0_0,0,0,0_right,24,0.5921898,4.7683716e-07,-0.87490845,-0.010414124
0_0,0,0,0_right,25,0.6595764,-9.536743e-07,-0.7799301,-0.07715225
0_0,0,0,0_right,26,0.73104095,4.7683716e-07,-0.66334915,-0.116760254
0_0,0,0,0_right,27,0.8065796,-4.7683716e-07,-0.526268,-0.14039707
0_0,0,0,0_right,28,0.88617325,9.536743e-07,-0.34109497,-0.1171751
0_0,0,0,0_right,29,0.9698067,-1.9073486e-06,-0.13292313,-0.074596405
0_0,0,0,0_right,30,1.0574379,-4.7683716e-07,0.05139923,-0.027830124
0_0,0,0,0_right,31,1.1490326,-1.4305115e-06,0.23577118,0.03630829
0_0,0,0,0_right,32,1.2445335,-9.536743e-07,0.3895874,0.094799995
0_0,0,0,0_right,33,1.3438835,0.0,0.51921463,0.14108849
0_0,0,0,0_right,34,1.4470177,-1.4305115e-06,0.62968063,0.15683746
0_0,0,0,0_right,35,1.5538559,4.7683716e-07,0.73623276,0.16495037
0_0,0,0,0_right,36,1.6643143,0.0,0.8256111,0.17086697
0_0,0,0,0_right,37,1.778305,-9.536743e-07,0.8823395,0.17602062
0_0,0,0,0_right,38,1.8957253,9.536743e-07,0.9327316,0.16237164
