direction,sh_elv_rmse_deg,sh_rot_rmse_deg,elbow_rmse_deg,wrist_rmse_cm,mean_l2_cm
0_right,0.9830686,1.0612932,1.9116985,0.8612298,1.0797217
135_fwd_left,0.9540851,1.0053897,0.9150827,0.39633653,0.6252175
180_left,1.0337029,1.1936581,0.87689275,0.48920184,0.72796166
225_back_left,1.0250701,1.4064391,1.1958969,0.7348112,0.8791821
270_backward,0.8776688,1.2248973,0.9684043,0.44711062,0.6767999
315_back_right,0.8754699,0.65873134,1.512021,0.5335084,0.7532543
45_fwd_right,1.2527457,1.7349137,2.3932815,1.0136887,1.2254006
90_forward,1.1209651,2.599041,1.546968,0.857473,1.0987543
g000_r04,0.8869257,0.5154688,1.246811,0.37850308,0.60281456
g000_r08,0.9311707,0.80667293,1.7766693,0.7423927,0.95908546
g000_r12,1.0318506,1.2417585,1.8072449,0.92738146,1.1454955
g015_r04,0.8973178,0.61139494,1.2972656,0.44675204,0.66765445
g015_r08,1.0315737,1.086431,1.9289296,0.8081658,1.0250654
g015_r12,1.0795065,1.4902958,2.0166514,1.0137745,1.222507
g030_r04,0.90017813,0.7572283,1.269103,0.5053991,0.7166529
g030_r08,1.0602403,1.2263104,2.0372572,0.84693676,1.0691503
g030_r12,1.1697178,1.7243918,2.3444514,1.1173074,1.3292036
g045_r04,0.91034895,0.80819976,1.118308,0.5142919,0.73102105
g045_r08,1.0898892,1.4524696,2.1944563,0.8961359,1.1052412
g045_r12,1.3525667,1.9210227,2.5204732,1.162906,1.3817697
g060_r04,0.9240783,0.8506976,0.9237248,0.5076235,0.72504294
g060_r08,1.0661743,2.0323474,1.8370397,0.85521346,1.0749786
g060_r12,1.3667269,2.2277133,2.4187822,1.0924894,1.3188915
g075_r04,0.9375378,0.9044166,0.9161025,0.5416875,0.7444703
g075_r08,0.96190554,2.0025034,1.352718,0.7827296,1.0144078
g075_r12,1.3232995,2.423113,1.9473963,0.9481783,1.1981063
g090_r04,0.9205033,0.89754397,0.9853117,0.5245577,0.7262609
g090_r08,0.94820666,2.320503,1.3469132,0.7858041,1.0128504
g090_r12,1.3921696,2.609193,1.7099463,0.922712,1.1637342
g105_r04,0.9361394,0.6536857,0.92847747,0.40256292,0.61845654
g105_r08,0.9163479,1.8834898,1.1051692,0.6639121,0.89919347
g105_r12,1.2498713,2.5223727,1.3522629,0.85621893,1.08621
g120_r04,0.9515273,0.53161025,0.8530896,0.33740795,0.5470981
g120_r08,0.93187255,1.1861596,0.95440674,0.502985,0.7367169
g120_r12,1.1357002,2.2617824,1.012203,0.6195908,0.855481
g135_r04,0.9609409,0.43166882,0.78773034,0.30722535,0.50311303
g135_r08,0.9325564,0.7293815,0.8389228,0.36512414,0.583924
g135_r12,1.1129243,1.5014997,0.9890598,0.4488757,0.6893996
g150_r04,0.90775883,0.48271978,0.8126891,0.30872774,0.49554104
g150_r08,0.88478506,0.6381965,0.8002582,0.34868747,0.5432514
g150_r12,0.98151505,0.7055805,1.0119977,0.4047568,0.5970665
g165_r04,0.9094988,0.68868285,0.84490865,0.3298794,0.5326978
g165_r08,0.8698643,0.75147843,0.8393752,0.39383253,0.6062998
g165_r12,0.92264915,0.74839383,0.88825965,0.4569077,0.6823253
g180_r04,0.9764968,0.7938097,0.88465023,0.37265864,0.5779483
g180_r08,1.040552,1.0946765,0.873427,0.4554439,0.6869603
g180_r12,1.0302311,1.3172529,0.8968299,0.5137012,0.74795556
g195_r04,1.034174,0.7926716,0.9189045,0.4371605,0.62809455
g195_r08,1.0666982,1.4926404,0.93040913,0.61066896,0.82074165
g195_r12,1.0617827,1.7070421,0.96324766,0.5981734,0.81799895
g210_r04,1.030342,0.8470252,0.92619914,0.45646656,0.6391346
g210_r08,1.0561752,1.576361,1.0432214,0.6928985,0.8589036
g210_r12,1.0378879,1.5735422,1.1629816,0.74880254,0.9233314
g225_r04,0.9850615,0.8272375,0.91645443,0.4163178,0.6049497
g225_r08,1.0655426,1.5772657,1.1731776,0.6986607,0.8156816
g225_r12,1.0435323,1.2546984,1.1654447,0.7769484,0.93004715
g240_r04,0.96070176,0.7418694,0.97251433,0.38824025,0.5814389
g240_r08,0.9914798,1.457558,1.255628,0.57072157,0.70027834
g240_r12,1.0430204,1.2335025,1.3337522,0.6537788,0.8047211
g255_r04,0.87628704,0.80945456,0.9997605,0.3928922,0.57900345
g255_r08,0.87485737,1.6034857,1.1133716,0.52608794,0.6804927
g255_r12,0.8957562,1.2937391,1.2538464,0.5341062,0.7152902
g270_r04,0.84429824,0.65804243,0.97728944,0.36077115,0.540449
g270_r08,0.8511493,1.0450279,0.9196605,0.38902193,0.59554005
g270_r12,0.88722044,1.2354081,0.9479277,0.46890453,0.69150066
g285_r04,0.8462055,0.4830483,0.7928743,0.29976285,0.46995747
g285_r08,0.8726541,0.5450864,0.84342796,0.3724536,0.58727485
g285_r12,0.95364004,0.96368426,1.0000005,0.44469064,0.6648625
g300_r04,0.8594298,0.41911867,0.8217087,0.29502782,0.48259088
g300_r08,0.8740242,0.5333111,1.0717841,0.37834644,0.5947877
g300_r12,0.95333797,0.6710129,1.3668727,0.46366522,0.6867563
g315_r04,0.86186314,0.4756369,0.9500931,0.31758493,0.523739
g315_r08,0.84930015,0.6823078,1.428586,0.4606955,0.6941685
g315_r12,0.89486694,0.7298544,1.432594,0.5694371,0.8004465
g330_r04,0.85225874,0.49986732,1.0670334,0.34501436,0.5638789
g330_r08,0.8490415,0.58531487,1.5653383,0.5523541,0.7787505
g330_r12,0.8576439,0.618277,1.4439925,0.66403633,0.899739
g345_r04,0.86112905,0.5030125,1.1713402,0.35616174,0.57633054
g345_r08,0.85976744,0.5933179,1.6219118,0.61558676,0.84278923
g345_r12,0.9337624,0.97137505,1.5898159,0.784432,1.0136844
